nivel_geo,abrangencia,cod_ibge_7_pop,cod_mun_pop,municipio_sinesp,nome_municipio_pop,ano,ano_mes,formulario_clean,evento_clean,faixa_etaria,num_total,num_fem,num_masc,pop_total,pop_fem,pop_masc
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-06,Formulário 7,Pessoa Desaparecida,Menor de Idade,449,288,161,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-06,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-06,Formulário 7,Pessoa Localizada,Maior de Idade,289,103,186,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-06,Formulário 7,Pessoa Localizada,Menor de Idade,347,220,127,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 7,Pessoa Desaparecida,Maior de Idade,393,144,249,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 7,Pessoa Desaparecida,Menor de Idade,443,280,163,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 7,Pessoa Localizada,Maior de Idade,296,109,187,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-07,Formulário 7,Pessoa Localizada,Menor de Idade,334,216,118,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 7,Pessoa Desaparecida,Maior de Idade,340,110,230,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 7,Pessoa Desaparecida,Menor de Idade,399,265,134,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 7,Pessoa Localizada,Maior de Idade,228,86,142,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 7,Pessoa Localizada,Menor de Idade,262,175,87,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 7,Pessoa Desaparecida,Maior de Idade,311,110,201,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 7,Pessoa Desaparecida,Menor de Idade,382,236,146,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 7,Pessoa Localizada,Maior de Idade,215,88,127,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 7,Pessoa Localizada,Menor de Idade,259,164,95,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 7,Pessoa Desaparecida,Maior de Idade,380,125,255,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 7,Pessoa Desaparecida,Menor de Idade,474,308,166,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 7,Pessoa Localizada,Maior de Idade,259,97,162,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 7,Pessoa Localizada,Menor de Idade,336,213,123,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 7,Pessoa Desaparecida,Maior de Idade,381,147,234,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 7,Pessoa Desaparecida,Menor de Idade,426,289,137,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 7,Pessoa Localizada,Maior de Idade,265,92,173,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 7,Pessoa Localizada,Menor de Idade,347,233,114,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 7,Pessoa Desaparecida,Maior de Idade,442,161,281,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 7,Pessoa Desaparecida,Menor de Idade,426,280,146,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 7,Pessoa Localizada,Maior de Idade,307,115,192,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 7,Pessoa Localizada,Menor de Idade,299,204,95,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11109776,5709062,5400714
